id,hanzi,pinyin,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
42,会,huì,"can","be possible","be able to","will","be likely to","be sure to","to assemble","to meet","to gather",""
43,火车站,huǒ chē zhàn,"train station","","","","","","","","",""
44,几,jǐ,"how much","how many","several","a few","","","","","",""
45,家,jiā,"home","family","classifier for families or businesses","refers to the philosophical schools of pre-Han China","noun suffix for specialists in some activity such as musician or revolutionary","corresponds to English -ist","-er","-ary or -ian","CL:個|个[gè]",""
46,叫,jiào,"to shout","to call","to order","to ask","to be called","by (indicates agent in the passive mood)","","","",""
47,今天,jīn tiān,"today","at the present","now","","","","","","",""
48,九,jiǔ,"nine","9","","","","","","","",""
49,开,kāi,"to open","to start","to turn on","to boil","to write out (a medical prescription)","to operate (vehicle)","abbr. for 開爾文|开尔文 degrees Kelvin","","",""
50,看,kàn,"to see","to look at","to read","to watch","to consider","to regard as","to view as","to treat as","to judge",""
51,看见,kàn jiàn,"to see","to catch sight of","","","","","","","",""
52,块,kuài,"lump (of earth)","chunk","piece","classifier for pieces of cloth","cake","soap etc","colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc)","usually as 塊錢|块钱","",""
53,来,lái,"to come","to arrive","to come round","ever since","next","","","","",""
54,老师,lǎo shī,"teacher","CL:個|个","位[wèi]","","","","","","",""
55,了,le,"(modal particle intensifying preceding clause)","(completed action marker)","","","","","","","",""
56,冷,lěng,"cold","","","","","","","","",""
57,里,lǐ,"li (Chinese mile)","500 meters (modern)","home","hometown","village","neighborhood","administrative unit","","",""
58,零,líng,"zero","nought","zero sign","fractional","fragmentary","odd (of numbers)","(placed between two numbers to indicate a smaller quantity followed by a larger one)","fraction","(in mathematics) remainder (after division)",""
59,六,liù,"six","6","","","","","","","",""
60,妈妈,mā ma,"mama","mommy","mother","CL:個|个","位[wèi]","","","","",""
61,吗,ma,"(question tag)","","","","","","","","",""
62,买,mǎi,"to buy","to purchase","","","","","","","",""
63,猫,māo,"cat","CL:隻|只[zhī]","","","","","","","",""
64,没,méi,"(negative prefix for verbs)","have not","not","","","","","","",""
65,没关系,méi guān xi,"it doesn't matter","","","","","","","","",""
66,米饭,mǐ fàn,"(cooked) rice","","","","","","","","",""
67,明天,míng tiān,"tomorrow","","","","","","","","",""
68,名字,míng zi,"name (of a person or thing)","CL:個|个[gè]","","","","","","","",""
69,哪,nǎ,"how","which","","","","","","","",""
70,那,nà,"that","those","then (in that case)","commonly pr.  before a classifier","esp. in Beijing","","","","",""
71,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (\"What about ...?\"; \"And ...?\")","particle for inquiring about location (\"Where is ...?\")","particle signaling a pause","to emphasize the preceding words and allow the listener time to take them on board (\"ok?\"; \"are you with me?\")","(at the end of a declarative sentence) particle indicating continuation of a state or action","particle indicating strong affirmation","","","",""
72,能,néng,"to be able to","to be capable of","ability","capability","able","capable","can possibly","(usually used in the negative) to have the possibility of","",""
73,你,nǐ,"you (informal; as opposed to courteous 您)","","","","","","","","",""
74,年,nián,"year","CL:個|个[gè]","","","","","","","",""
75,女儿,nǚ ér,"daughter","","","","","","","","",""
76,朋友,péng you,"friend","CL:個|个","位[wèi]","","","","","","",""
77,漂亮,piào liang,"pretty","beautiful","","","","","","","",""
78,苹果,píng guǒ,"apple","CL:個|个","顆|颗[kē]","","","","","","",""
79,七,qī,"seven","7","","","","","","","",""
80,钱,qián,"coin","money","CL:筆|笔[bǐ]","unit of weight","one tenth of a tael 兩|两[liǎng]","","","","",""
81,前面,qián miàn,"ahead","in front","preceding","above","","","","","",""
82,请,qǐng,"to ask","to invite","please (do sth)","to treat (to a meal etc)","to request","","","","",""
83,去,qù,"to go","to go to (a place)","to cause to go or send (sb)","to remove","to get rid of","(when used either before or after a verb) to go in order to do sth","to be apart from in space or time","(after a verb of motion indicates movement away from the speaker)","(used after certain verbs to indicate detachment or separation)",""
84,热,rè,"to warm up","to heat up","hot (of weather)","heat","fervent","","","","",""
85,人,rén,"man","person","people","CL:個|个","位[wèi]","","","","",""
86,认识,rèn shi,"to know","to recognize","to be familiar with","to get acquainted with sb","knowledge","understanding","awareness","cognition","",""
87,日,rì,"sun","day","date","day of the month","abbr. for 日本 Japan","","","","",""
88,三,sān,"three","3","","","","","","","",""
89,商店,shāng diàn,"store","shop","CL:家","個|个[gè]","","","","","",""
90,上,shàng,"on top","upon","above","upper","previous","first (of multiple parts)","to climb","to get onto","to go up",""
91,上午,shàng wǔ,"morning","CL:個|个[gè]","","","","","","","",""
92,少,shǎo,"few","little","lack","","","","","","",""
93,谁,shéi,"who","also pr. [shuí]","","","","","","","",""
94,什么,shén me,"what?","who?","something","anything","","","","","",""
95,十,shí,"ten","10","","","","","","","",""
96,时候,shí hou,"time","length of time","moment","period","","","","","",""
97,是,shì,"is","are","am","yes","to be","","","","",""
98,书,shū,"book","letter","CL:本","冊|册","部[bù]","see also 書經|书经 Book of History","","","",""
99,水,shuǐ,"water","river","liquid","beverage","additional charges or income","(of clothes) classifier for number of washes","","","",""
100,水果,shuǐ guǒ,"fruit","CL:個|个[gè]","","","","","","","",""
101,睡觉,shuì jiào,"to go to bed","to sleep","","","","","","","",""
102,说话,shuō huà,"to speak","to say","to talk","to gossip","to tell stories","talk","word","","",""
103,四,sì,"four","4","","","","","","","",""
104,岁,suì,"classifier for years (of age)","year","year (of crop harvests)","","","","","","",""
105,他,tā,"he or him","(used for either sex when the sex is unknown or unimportant)","(used before sb's name for emphasis)","(used as a meaningless mock object)","other","another","","","",""
106,她,tā,"she","","","","","","","","",""
107,太,tài,"highest","greatest","too (much)","very","extremely","","","","",""
108,天气,tiān qì,"weather","","","","","","","","",""
109,听,tīng,"to listen","to hear","to obey","a can (loanword from English \"tin\")","classifier for canned beverages","","","","",""
110,同学,tóng xué,"to study at the same school","fellow student","classmate","CL:位","個|个[gè]","","","","",""
111,喂,wèi,"to feed","","","","","","","","",""
112,我,wǒ,"I","me","my","","","","","","",""
113,我们,wǒ men,"we","us","ourselves","our","","","","","",""
114,五,wǔ,"five","5","","","","","","","",""
115,喜欢,xǐ huan,"to like","to be fond of","","","","","","","",""
116,下,xià,"down","downwards","below","lower","later","next (week etc)","second (of two parts)","to decline","to go down",""
117,下午,xià wǔ,"afternoon","CL:個|个[gè]","p.m.","","","","","","",""
118,下雨,xià yǔ,"to rain","rainy","","","","","","","",""
119,先生,xiān sheng,"teacher","husband","doctor (topolect)","CL:位[wèi]","","","","","",""
120,现在,xiàn zài,"now","at present","at the moment","modern","current","nowadays","","","",""
121,想,xiǎng,"to think","to believe","to suppose","to wish","to want","to miss","","","",""
122,小,xiǎo,"small","tiny","few","young","","","","","",""
123,小姐,xiǎo jie,"young lady","miss","(slang) prostitute","CL:個|个","位[wèi]","","","","",""
124,些,xiē,"some","few","several","measure word indicating a small amount or small number (greater than 1)","","","","","",""
125,写,xiě,"to write","","","","","","","","",""
126,谢谢,xiè xie,"to thank","thanks","","","","","","","",""
127,星期,xīng qī,"week","CL:個|个[gè]","day of the week","Sunday","","","","","",""
128,学生,xué sheng,"student","schoolchild","","","","","","","",""
129,学习,xué xí,"to learn","to study","","","","","","","",""
130,学校,xué xiào,"school","CL:所[suǒ]","","","","","","","",""
131,一,yī,"one","1","single","a (article)","as soon as","entire","whole","all","throughout",""
132,衣服,yī fu,"clothes","CL:件","套[tào]","","","","","","",""
133,医生,yī shēng,"doctor","CL:個|个","位","名[míng]","","","","","",""
134,医院,yī yuàn,"hospital","CL:所","家","座[zuò]","","","","","",""
135,椅子,yǐ zi,"chair","CL:把","套[tào]","","","","","","",""
136,有,yǒu,"to have","there is","there are","to exist","to be","","","","",""
137,月,yuè,"moon","month","CL:個|个","輪|轮[lún]","","","","","",""
138,在,zài,"(located) at","(to be) in","to exist","in the middle of doing sth","(indicating an action in progress)","","","","",""
139,再见,zài jiàn,"goodbye","see you again later","","","","","","","",""
140,怎么,zěn me,"variant of 怎麼|怎么[zěn me]","","","","","","","","",""
141,怎么样,zěn me yàng,"how?","how about?","how was it?","how are things?","","","","","",""
142,这,zhè,"this","these","(commonly pr.  before a classifier; esp. in Beijing)","","","","","","",""
143,中国,Zhōng guó,"China","Middle Kingdom","","","","","","","",""
144,中午,zhōng wǔ,"noon","midday","CL:個|个[gè]","","","","","","",""
145,住,zhù,"to live","to dwell","to stay","to reside","to stop","(suffix indicating firmness; steadiness; or coming to a halt)","","","",""
146,桌子,zhuō zi,"table","desk","CL:張|张","套[tào]","","","","","",""
147,字,zì,"letter","symbol","character","word","CL:個|个[gè]","courtesy or style name traditionally given to males aged 20 in dynastic China","","","",""
148,昨天,zuó tiān,"yesterday","","","","","","","","",""
149,坐,zuò,"to sit","to take a seat","to take (a bus; airplane etc)","to bear fruit","variant of 座[zuò]","","","","",""
150,做,zuò,"to do","to make","to produce","to write","to compose","to act as","to engage in","to hold (a party)","to be",""
